respondent_id,persona
1681,"I am 40 years old. I am male. I am Black or African American. I have never been married. I had 2 years of college education. My family income is $50,000 to $59,999. I am an independent, close to Republican. I am liberal. I attend religious services about once a month."
1694,"I am 60 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $60,000 to $74,999. I am a strong Republican. I am conservative. I attend religious services about once a month."
1711,I am 42 years old. I am male. I am of another race. I am married. I completed 10th grade. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services every week.
1712,"I am 43 years old. I am female. I am White. I am separated. I completed 10th grade. My family income is $15,000 to $17,499. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services less than once a year."
1730,"I am 26 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
1738,"I am 27 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $90,000 to $109,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services less than once a year."
1798,"I am 73 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $40,000 to $49,999. I am a not very strong Republican. I am moderate (middle of the road). I attend religious services several times a year."
1801,"I am 28 years old. I am male. I am Black or African American. I am married. I completed high school (12th grade). My family income is $75,000 to $89,999. I am an independent, close to Democrat. I attend religious services about once or twice a year."
1820,"I am 19 years old. I am male. I am White. I have never been married. I had 2 years of college education. My family income is $35,000 to $39,999. I am an independent, close to Republican. I am moderate (middle of the road). I never attend religious services."
1821,"I am 29 years old. I am female. I am of another race. I am married. I had 6 years of college education (master's degree). My family income is $35,000 to $39,999. I am an independent, close to Republican. I am moderate (middle of the road). I attend religious services nearly every week."
1834,"I am 39 years old. I am male. I am White. I am married. I had 6 years of college education (master's degree). I am an independent, close to Democrat. I am slightly conservative. I attend religious services about once or twice a year."
1854,"I am 68 years old. I am male. I am White. I am divorced. I had 8 or more years of college education (doctorate or professional degree). My family income is $110,000 to $129,999. I am a strong Democrat. I am liberal. I never attend religious services."
1876,"I am 68 years old. I am female. I am White. I am divorced. I had 1 year of college education. My family income is $40,000 to $49,999. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services more than once a week."
1893,"I am 46 years old. I am male. I am White. I have never been married. I completed high school (12th grade). My family income is $75,000 to $89,999. I am an independent, close to Republican. I am slightly conservative. I attend religious services less than once a year."
1910,"I am 24 years old. I am female. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $3,000 to $3,999. I am an independent (neither Democrat nor Republican). I am slightly liberal. I attend religious services less than once a year."
1918,I am 39 years old. I am female. I am White. I am married. I completed 6th grade. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services about once or twice a year.
1920,"I am 34 years old. I am male. I am White. I am married. I completed 9th grade. My family income is $90,000 to $109,999. I am an independent, close to Republican. I am moderate (middle of the road). I attend religious services 2-3 times a month."
1960,"I am 63 years old. I am female. I am White. I am widowed. I had 3 years of college education. My family income is $60,000 to $74,999. I am a not very strong Democrat. I am moderate (middle of the road). I never attend religious services."
1962,"I am 89 years or older. I am male. I am White. I am widowed. I had 7 years of college education. My family income is $110,000 to $129,999. I am a strong Republican. I am moderate (middle of the road). I attend religious services every week."
1965,"I am 42 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). My family income is $110,000 to $129,999. I am an independent, close to Republican. I am moderate (middle of the road). I attend religious services less than once a year."
1980,"I am 52 years old. I am female. I am Black or African American. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am a strong Democrat. I am moderate (middle of the road). I attend religious services about once or twice a year."
2008,"I am 63 years old. I am male. I am White. I am married. I had 2 years of college education. My family income is $75,000 to $89,999. I am an independent (neither Democrat nor Republican). I am liberal. I never attend religious services."
2015,"I am 57 years old. I am female. I am White. I am divorced. I had 6 years of college education (master's degree). My family income is $30,000 to $34,999. I am a strong Democrat. I am liberal. I never attend religious services."
2027,I am 24 years old. I am female. I am White. I am divorced. I completed high school (12th grade). I am a not very strong Republican. I am conservative. I never attend religious services.
2064,"I am 45 years old. I am female. I am White. I am married. I completed 10th grade. My family income is $15,000 to $17,499. I am a strong Republican. I am moderate (middle of the road). I never attend religious services."
2070,I am 38 years old. I am female. I am White. I am married. I completed 8th grade. I am an independent (neither Democrat nor Republican). I am extremely conservative. I never attend religious services.
2071,"I am 89 years or older. I am male. I am White. I am widowed. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am a not very strong Republican. I am slightly conservative. I attend religious services every week."
2078,"I am 63 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $15,000 to $17,499. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
2088,"I am 57 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $40,000 to $49,999. I am a not very strong Republican. I am slightly conservative. I never attend religious services."
2094,"I am 78 years old. I am female. I am White. I am married. I had 7 years of college education. My family income is $110,000 to $129,999. I am a strong Democrat. I am liberal. I attend religious services less than once a year."
2110,"I am 57 years old. I am female. I am White. I am married. I completed high school (12th grade). My family income is $75,000 to $89,999. I am a not very strong Republican. I am moderate (middle of the road). I never attend religious services."
2112,"I am 89 years or older. I am female. I am White. I am widowed. I had 2 years of college education. My family income is $170,000 or more. I am an independent, close to Republican. I am conservative. I attend religious services about once or twice a year."
2126,"I am 34 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $60,000 to $74,999. I am a strong Republican. I am extremely conservative. I never attend religious services."
2160,"I am 63 years old. I am male. I am Black or African American. I am divorced. I had 1 year of college education. My family income is $130,000 to $149,999. I am a strong Democrat. I am slightly liberal. I attend religious services about once or twice a year."
2164,"I am 37 years old. I am male. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $20,000 to $22,499. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services nearly every week."
2181,"I am 47 years old. I am male. I am Black or African American. I have never been married. I had 5 years of college education. My family income is $50,000 to $59,999. I am a strong Democrat. I am moderate (middle of the road). I attend religious services several times a year."
2201,I am 86 years old. I am female. I am White. I am widowed. I completed high school (12th grade). I am an independent (neither Democrat nor Republican). I never attend religious services.
2255,"I am 34 years old. I am male. I am White. I am married. I had 2 years of college education. My family income is $60,000 to $74,999. I am a strong Republican. I am slightly conservative. I never attend religious services."
2263,"I am 26 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $75,000 to $89,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
2268,"I am 50 years old. I am female. I am White. I am married. I had 5 years of college education. My family income is $170,000 or more. I am a strong Republican. I am conservative. I attend religious services every week."
2280,"I am 57 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). My family income is $90,000 to $109,999. I am a strong Republican. I am moderate (middle of the road). I attend religious services several times a year."
2346,"I am 40 years old. I am female. I am White. I am married. I had 2 years of college education. My family income is $75,000 to $89,999. I am a not very strong Republican. I am slightly conservative. I attend religious services every week."
2351,I am 66 years old. I am female. I am Black or African American. I am married. I had 2 years of college education. I am a strong Democrat. I am slightly liberal. I attend religious services 2-3 times a month.
2357,"I am 38 years old. I am male. I am White. I have never been married. I had 2 years of college education. My family income is $75,000 to $89,999. I am an independent, close to Democrat. I am slightly liberal. I never attend religious services."
2374,"I am 65 years old. I am male. I am Black or African American. I am divorced. I completed 10th grade. My family income is less than $1,000. I am a strong Democrat. I am liberal. I never attend religious services."
2375,"I am 23 years old. I am female. I am Black or African American. I have never been married. I had 1 year of college education. My family income is $50,000 to $59,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
2377,"I am 55 years old. I am male. I am Black or African American. I am married. I completed high school (12th grade). My family income is $40,000 to $49,999. I am an independent (neither Democrat nor Republican). I am liberal. I attend religious services more than once a week."
2387,"I am 33 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $40,000 to $49,999. I am a not very strong Democrat. I am slightly liberal. I attend religious services every week."
2389,"I am 71 years old. I am female. I am White. I am married. I had 1 year of college education. My family income is $75,000 to $89,999. I am a strong Democrat. I am extremely liberal. I never attend religious services."
2413,"I am 34 years old. I am male. I am White. I am married. I had 1 year of college education. My family income is $75,000 to $89,999. I am a strong Republican. I am conservative. I attend religious services every week."
2493,"I am 49 years old. I am female. I am Black or African American. I am married. I completed high school (12th grade). My family income is $15,000 to $17,499. I am an independent (neither Democrat nor Republican). I am slightly conservative. I attend religious services 2-3 times a month."
2495,"I am 59 years old. I am male. I am Black or African American. I am married. I had 1 year of college education. My family income is $12,500 to $14,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
2498,"I am 52 years old. I am female. I am Black or African American. I am widowed. I completed high school (12th grade). My family income is $25,000 to $29,999. I am a strong Democrat. I am slightly conservative. I attend religious services 2-3 times a month."
2538,"I am 80 years old. I am male. I am Black or African American. I am divorced. I had 3 years of college education. My family income is $1,000 to $2,999. I am a not very strong Democrat. I am slightly liberal. I attend religious services several times a year."
2562,"I am 29 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services every week."
2567,"I am 81 years old. I am male. I am White. I am divorced. I completed high school (12th grade). My family income is $35,000 to $39,999. I am a not very strong Republican. I am moderate (middle of the road). I attend religious services every week."
2577,"I am 66 years old. I am male. I am White. I am divorced. I had 2 years of college education. My family income is $10,000 to $12,499. I am a strong Republican. I am extremely liberal. I never attend religious services."
2645,"I am 49 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $50,000 to $59,999. I am an independent, close to Republican. I am liberal. I attend religious services every week."
2659,I am 81 years old. I am female. I am Black or African American. I am divorced. I had 3 years of college education. I am a strong Democrat. I am liberal. I never attend religious services.
2660,"I am 18 years old. I am female. I am White. I am married. I completed high school (12th grade). My family income is $17,500 to $19,999. I am a not very strong Republican. I am conservative. I never attend religious services."
2692,"I am 47 years old. I am male. I am of another race. I am separated. I completed 11th grade. My family income is $170,000 or more. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
2714,"I am 63 years old. I am female. I am White. I am widowed. I completed high school (12th grade). My family income is $40,000 to $49,999. I am a strong Democrat. I am slightly conservative. I attend religious services more than once a week."
2726,I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). I am a not very strong Republican. I am moderate (middle of the road). I attend religious services less than once a year.
2731,"I am 63 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am a not very strong Republican. I am conservative. I attend religious services more than once a week."
2746,"I am 36 years old. I am female. I am of another race. I am divorced. I completed 11th grade. My family income is $35,000 to $39,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services about once or twice a year."
2757,"I am 50 years old. I am male. I am of another race. I am divorced. I completed high school (12th grade). My family income is $40,000 to $49,999. I am an independent, close to Democrat. I am moderate (middle of the road). I attend religious services about once a month."
2776,"I am 56 years old. I am male. I am Black or African American. I have never been married. I completed high school (12th grade). My family income is $75,000 to $89,999. I am a strong Democrat. I am moderate (middle of the road). I attend religious services every week."
2784,"I am 75 years old. I am male. I am White. I am married. I had 8 or more years of college education (doctorate or professional degree). My family income is $110,000 to $129,999. I am a strong Republican. I am extremely conservative. I attend religious services more than once a week."
2788,I am 65 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). I am a strong Republican. I am extremely conservative. I attend religious services 2-3 times a month.
2825,"I am 22 years old. I am male. I am Black or African American. I have never been married. I completed high school (12th grade). My family income is $60,000 to $74,999. I am an independent, close to Democrat. I am extremely conservative. I attend religious services about once a month."
2837,"I am 59 years old. I am female. I am White. I am divorced. I had 1 year of college education. My family income is $10,000 to $12,499. I am a strong Republican. I am extremely conservative. I attend religious services several times a year."
2858,"I am 67 years old. I am female. I am White. I am married. I completed high school (12th grade). My family income is $90,000 to $109,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services several times a year."
2878,"I am 24 years old. I am male. I am White. I am married. I had 2 years of college education. My family income is $25,000 to $29,999. I am an independent, close to Republican. I am slightly conservative. I attend religious services every week."
2880,"I am 31 years old. I am male. I am White. I am divorced. I had 1 year of college education. My family income is $75,000 to $89,999. I am an independent (neither Democrat nor Republican). I am extremely conservative. I attend religious services more than once a week."
2905,I am female. I am of another race. I am widowed. I completed high school (12th grade). I am an independent (neither Democrat nor Republican). I never attend religious services.
2952,"I am 77 years old. I am male. I am White. I am married. I had 1 year of college education. My family income is $40,000 to $49,999. I am a not very strong Democrat. I am moderate (middle of the road). I never attend religious services."
2955,"I am 28 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $150,000 to $169,999. I am a strong Republican. I am conservative. I never attend religious services."
2978,"I am 19 years old. I am female. I am White. I have never been married. I had 2 years of college education. My family income is $170,000 or more. I am an independent, close to Democrat. I am moderate (middle of the road). I never attend religious services."
2980,"I am 74 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am an independent, close to Democrat. I am moderate (middle of the road). I attend religious services every week."
3005,"I am 71 years old. I am female. I am White. I am married. I completed high school (12th grade). My family income is $75,000 to $89,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
3008,"I am 58 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am a not very strong Democrat. I am slightly conservative. I never attend religious services."
3016,"I am 49 years old. I am male. I am White. I am married. I had 1 year of college education. My family income is $75,000 to $89,999. I am a strong Republican. I am conservative. I attend religious services nearly every week."
3023,"I am 36 years old. I am male. I am White. I have never been married. I had 5 years of college education. My family income is $17,500 to $19,999. I am an independent, close to Democrat. I am slightly liberal. I never attend religious services."
3057,"I am 55 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $40,000 to $49,999. I am a strong Republican. I am conservative. I attend religious services about once a month."
3072,"I am 43 years old. I am female. I am White. I am divorced. I had 5 years of college education. My family income is $75,000 to $89,999. I am a not very strong Republican. I am slightly conservative. I attend religious services more than once a week."
3073,"I am 31 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $75,000 to $89,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services every week."
3080,I am 63 years old. I am female. I am of another race. I am divorced. I completed 4 years of college (bachelor's degree). I am a not very strong Republican. I am conservative. I attend religious services every week.
3098,"I am 59 years old. I am male. I am White. I am married. I had 2 years of college education. My family income is $170,000 or more. I am a strong Republican. I am conservative. I attend religious services about once or twice a year."
3099,"I am 24 years old. I am female. I am White. I am married. I had 3 years of college education. My family income is $75,000 to $89,999. I am a strong Republican. I am extremely conservative. I attend religious services 2-3 times a month."
3100,"I am 68 years old. I am male. I am White. I have never been married. I completed high school (12th grade). My family income is $25,000 to $29,999. I am a not very strong Republican. I am slightly conservative. I attend religious services several times a year."
3117,"I am 54 years old. I am male. I am White. I am divorced. I had 5 years of college education. My family income is $40,000 to $49,999. I am a not very strong Republican. I am conservative. I attend religious services less than once a year."
3132,"I am 83 years old. I am female. I am White. I am married. I completed high school (12th grade). My family income is $50,000 to $59,999. I am a strong Democrat. I am extremely liberal. I attend religious services less than once a year."
3164,"I am 38 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $50,000 to $59,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services about once or twice a year."
3166,"I am 18 years old. I am male. I am White. I have never been married. I completed high school (12th grade). My family income is $10,000 to $12,499. I am an independent, close to Republican. I am moderate (middle of the road). I attend religious services about once a month."
3172,"I am 62 years old. I am female. I am White. I am divorced. I completed 11th grade. My family income is $17,500 to $19,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
3175,"I am 55 years old. I am male. I am of another race. I am divorced. I completed 10th grade. My family income is $15,000 to $17,499. I am moderate (middle of the road). I attend religious services several times a year."
3185,"I am 45 years old. I am female. I am Black or African American. I have never been married. I had 3 years of college education. My family income is $3,000 to $3,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
3193,"I am 47 years old. I am female. I am Black or African American. I have never been married. I had 2 years of college education. My family income is $60,000 to $74,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services 2-3 times a month."
3308,"I am 51 years old. I am female. I am White. I am separated. I had 8 or more years of college education (doctorate or professional degree). My family income is $75,000 to $89,999. I am an independent, close to Democrat. I am extremely liberal. I never attend religious services."
3309,"I am 69 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). My family income is $40,000 to $49,999. I am a not very strong Democrat. I am slightly liberal. I attend religious services nearly every week."
